name,email,phone,age,sex,address,city
백재호,baggwangsu@hotmail.com,042-136-0074,8,F,전라북도 양양군 압구정거리,태백시
김영식,munmyeongsug@namhanyun.kr,061-989-7120,52,F,광주광역시 종로구 잠실7가 (은지노면),화성시
윤예지,jijiyeon@hanmail.net,016-971-6840,44,M,충청남도 부천시 서초중앙2거리 (서영김이면),태안군
박영일,yeonghwanbag@ju.net,064-717-2736,59,M,충청남도 횡성군 언주로,증평군
박지민,minjun77@dreamwiz.com,070-1284-5655,59,M,전라남도 성남시 수정구 양재천가,안산시 단원구
신영미,jinugang@jeoncoe.net,02-3043-8235,35,M,세종특별자치시 은평구 가락43로 (예은이동),정선군
김지아,si@gimgimseo.kr,055-308-9406,5,M,대구광역시 금천구 학동6거리,성남시 중원구
이예은,junseo62@gimyunyun.com,016-424-2608,63,M,대구광역시 동구 잠실거리 (준호김읍),시흥시
이광수,wi@hotmail.com,053-355-9480,43,F,경상남도 고양시 덕양구 서초중앙가,영월군
박영희,seungminbag@daum.net,017-861-1617,32,F,경기도 보은군 언주로,옥천군
박예은,seungmin44@sinryu.kr,062-765-1096,6,F,충청남도 안산시 단원구 잠실가,화성시
김미숙,hanyeongjin@dreamwiz.com,017-718-2966,53,F,경상남도 계룡시 서초대30가 (현지박이읍),부천시 소사구
김미숙,gyeongjagim@daum.net,011-651-8217,64,M,인천광역시 성동구 가락로,보령시
오보람,hyeonuhwang@yuhanhoesa.org,017-225-3993,47,M,대구광역시 남구 영동대로 (재현홍박면),수원시 권선구
박지영,ryang@ju.net,019-389-3522,67,F,충청북도 수원시 권선구 논현18길,동해시
이민수,gwangsu10@naver.com,042-146-5927,36,F,경상북도 당진시 잠실45로,영월군
박예진,haeun82@gimgweon.com,051-412-2511,20,M,전라북도 성남시 중원구 역삼거리,광주시
홍아름,ogim@daum.net,053-550-1177,27,F,경기도 하남시 양재천가 (성훈김백면),동해시
김민재,cunjagwag@live.com,019-741-6013,14,F,전라남도 동해시 석촌호수길,음성군
남상현,agim@jusighoesa.com,02-2907-7995,77,F,경상남도 강릉시 오금6길,충주시
박영진,jimin00@nate.com,063-142-8914,71,F,전라남도 보령시 강남대5거리,충주시
이미영,tgim@hanmail.net,041-708-0702,68,M,전라남도 용인시 처인구 잠실가 (서현최동),이천시
김정남,cmun@nate.com,010-0071-8587,55,M,대구광역시 강북구 강남대50거리,서산시
이서영,yeongceoli@gmail.com,02-9775-8148,70,F,인천광역시 서구 강남대가 (경자이면),성남시
서경희,jan@naver.com,043-641-6660,51,M,충청남도 강릉시 잠실로 (수빈김김읍),이천시
성현준,hyeonsug27@munsongcoe.kr,053-108-0724,45,M,부산광역시 서초구 언주8길,당진시
장민서,rbag@hanmail.net,042-226-7440,74,M,경상북도 속초시 테헤란35로 (민준이동),청주시 청원구
김진우,ycoe@yu.org,011-690-7363,10,M,전라북도 용인시 백제고분824로 (광수권류읍),광주시
김지아,ygim@nate.com,017-560-1777,46,M,강원도 용인시 기흥구 반포대205가 (지연홍김마을),성남시
장숙자,hyeonsug60@yuhanhoesa.com,043-350-3775,53,M,경상남도 수원시 영통구 테헤란0가 (미숙장마을),영월군
이서윤,qcoe@hongsim.kr,017-371-5379,64,F,광주광역시 강동구 강남대길,성남시
박하윤,jjang@jusighoesa.com,061-367-2730,66,F,충청남도 고양시 강남대31로 (유진김김면),의정부시
박진호,yeongsun95@hanmail.net,031-031-9937,67,M,인천광역시 도봉구 반포대28길,청양군
류상호,seoyeon53@yu.kr,062-506-7316,48,M,충청북도 동해시 반포대059거리 (상현황동),의정부시
김승현,seojun57@daum.net,016-449-4087,42,M,제주특별자치도 수원시 팔달구 석촌호수0가 (주원이리),논산시
박도윤,gimsumin@ju.org,019-555-6906,25,F,인천광역시 북구 도산대로 (하은김면),용인시 기흥구
오성진,yeongilgim@bagio.com,041-319-4693,77,F,충청남도 천안시 동남구 도산대로 (진우이박리),양주시
김진우,ljeong@ryubaggim.net,054-940-3613,18,F,광주광역시 서대문구 삼성367가,화성시
이영일,yeonghyigim@jusighoesa.com,010-0746-4725,21,M,전라북도 평창군 학동길 (민지고리),구리시
이명숙,seongsui@jusighoesa.com,042-305-8861,57,F,경상남도 예산군 서초중앙102길 (미정남박읍),아산시
윤예진,ujia@yuhanhoesa.com,061-062-3102,74,F,부산광역시 관악구 잠실04로,고양시 덕양구
김지현,jangsangceol@hanmail.net,043-709-2654,78,F,부산광역시 영등포구 석촌호수가 (영자김장마을),청양군
황서현,yeonggil80@yuhanhoesa.net,011-230-5556,31,F,대전광역시 영등포구 학동2로 (하은심마을),남양주시
송성호,eunji13@nate.com,061-561-0230,35,F,강원도 구리시 삼성27로,안산시 상록구
오지은,zryu@yu.net,053-375-5668,22,F,부산광역시 송파구 서초중앙로 (은정장윤마을),영동군
김동현,gimseonghun@jusighoesa.com,02-8487-2678,57,F,대구광역시 관악구 양재천길,동해시
남성현,wcoe@daum.net,02-0580-1950,43,F,충청남도 영월군 백제고분가,보은군
이경수,sonseonghun@yuhanhoesa.kr,016-694-0600,62,M,경기도 평택시 선릉가 (서준이이면),괴산군
서순옥,omyeongja@hanmail.net,018-812-2015,62,F,서울특별시 관악구 논현55가 (미숙이최리),청주시 청원구
김지영,seonghyeonbae@yuhanhoesa.com,018-245-8827,60,M,강원도 수원시 팔달구 도산대가,성남시 중원구
박성호,eunyeongan@johan.net,042-621-1232,40,M,세종특별자치시 강남구 학동로,음성군
한영호,jiujeong@dreamwiz.com,010-4868-5350,43,F,전라북도 서산시 언주로 (은정김리),고양시 덕양구
윤예은,hwangjiyeon@naver.com,018-892-6993,25,M,전라북도 부천시 원미구 논현로,광명시
김지후,xseo@yu.kr,02-2482-5460,14,F,전라남도 안양시 만안구 언주로 (서영황장리),청주시 서원구
하정수,xi@jusighoesa.org,051-318-7889,13,M,강원도 파주시 역삼600가,시흥시
권숙자,hanseonghyeon@baejangi.net,051-125-8900,19,M,전라남도 파주시 강남대거리,수원시 팔달구
김영철,cjo@dreamwiz.com,051-320-9729,58,M,울산광역시 송파구 잠실가 (지연진이동),남양주시
홍지후,sunoggim@hanmail.net,017-490-3743,37,M,광주광역시 강북구 압구정5거리 (예지김읍),성남시 수정구
허하윤,coejeongja@ibaggim.kr,017-466-3231,38,F,경기도 여주시 양재천6거리 (선영최한동),옥천군
이은지,eo@daum.net,063-600-9314,74,M,대구광역시 동작구 강남대길,청주시 서원구
곽영자,pi@dreamwiz.com,052-217-7227,47,F,경상남도 연천군 언주2로 (유진조김리),평창군
안영일,jeongung15@yuhanhoesa.org,052-045-4246,71,F,충청남도 보은군 가락111길,군포시
서지영,myeongsug12@daum.net,044-985-4313,62,F,대구광역시 동대문구 도산대5거리 (도현이박동),수원시
박지은,eunjugim@hotmail.com,053-784-4157,51,M,대전광역시 노원구 개포600거리 (상훈박강동),양주시
한주원,yejin10@hotmail.com,044-569-6447,15,M,경상북도 삼척시 역삼가,부천시
하영순,gimjeongung@gimyungim.net,011-383-2459,50,F,울산광역시 구로구 도산대32가 (영희김읍),금산군
이서윤,jihyeongim@yunami.net,010-7976-3181,56,F,충청북도 양주시 압구정3거리,고양시 덕양구
이영환,si@dreamwiz.com,055-928-8042,69,M,광주광역시 노원구 오금66길,음성군
김보람,jeongsugi@jusighoesa.net,033-432-5567,15,M,전라북도 수원시 영통구 백제고분494가 (현주노동),음성군
박현지,vgweon@daum.net,02-6427-3609,27,F,울산광역시 관악구 강남대거리,광주시
송미정,mjang@hanmail.net,032-276-9532,23,F,대구광역시 북구 가락9가,논산시
박춘자,myun@ju.com,051-848-1635,28,M,부산광역시 북구 영동대0거리,안양시 동안구
김지후,seonyeong86@dreamwiz.com,044-391-9588,49,M,경상북도 제천시 백제고분699가,천안시 동남구
오재현,yeongsuhong@jusighoesa.kr,011-899-0844,27,M,경상남도 안산시 잠실56거리,서산시
윤승현,myeongja16@hotmail.com,031-322-1883,39,F,충청남도 시흥시 석촌호수길 (하윤정조동),과천시
오명자,gyeonghyi96@daum.net,062-852-6648,43,F,제주특별자치도 당진시 반포대30로 (재호서문읍),고양시 덕양구
홍성민,vgim@live.com,02-6381-1122,37,F,전라남도 안산시 석촌호수93가,평창군
최상훈,gimjeongja@naver.com,02-7239-8819,32,F,대전광역시 성동구 삼성거리,수원시 장안구
김혜진,minjaehwang@jusighoesa.net,063-123-6290,48,F,울산광역시 구로구 잠실0로 (성호김마을),정선군
문건우,eungyeong03@gimi.com,02-1553-2310,51,F,전라남도 천안시 동남구 삼성392길 (민서박읍),계룡시
서영일,geonu03@daum.net,044-559-3777,21,M,경기도 광명시 언주거리,연천군
송예지,gimseunghyeon@ju.com,032-231-6869,70,M,인천광역시 성북구 논현길 (상철한리),철원군
문옥순,jcoe@gmail.com,062-300-6835,23,F,대구광역시 용산구 논현08로 (승민김동),청주시 흥덕구
김영철,gangogsun@yu.kr,070-2806-9599,61,M,부산광역시 남구 잠실844로 (순옥김이동),평택시
윤서윤,iyeonggil@hanmail.net,061-019-4354,55,F,제주특별자치도 보령시 잠실길 (아름김김면),철원군
박명자,byun@hotmail.com,070-9764-4382,36,F,대구광역시 용산구 양재천가,음성군
조현정,jeonghyigim@baegcoe.kr,032-593-1221,73,M,전라남도 진천군 가락6로,오산시
박준영,xgim@dreamwiz.com,019-915-9081,78,M,제주특별자치도 강릉시 오금376가 (준영성동),양주시
김정남,mi@jusighoesa.kr,032-001-2779,6,M,전라남도 이천시 가락로 (옥순김마을),포천시
권지연,jeonghogim@live.com,043-671-2368,26,M,대구광역시 강남구 강남대9길,단양군
장정웅,jyang@daum.net,070-9351-0766,7,F,광주광역시 강동구 강남대7길,수원시
김진호,yeongsuni@dreamwiz.com,053-482-7065,15,F,경상북도 천안시 서북구 개포58로 (서현김남읍),안산시 단원구
박영진,pbag@jusighoesa.com,017-659-4535,60,M,서울특별시 동구 가락65가,오산시
이종수,subingim@nate.com,063-910-1779,67,F,대구광역시 금천구 백제고분0가,청주시 흥덕구
김영일,seoyun66@live.com,052-022-9616,53,F,경상북도 보은군 석촌호수가 (준영이리),고양시 일산서구
박지현,baegyeongsu@baegjingim.org,019-943-3242,16,F,광주광역시 마포구 개포72거리,안산시
박현준,yyun@naver.com,053-273-4125,41,M,경상북도 정선군 영동대길,양주시
이정희,bagseoyeong@coebag.org,016-831-0768,37,M,강원도 홍성군 선릉72로 (순자박마을),양주시
정준호,myeongja75@iigim.kr,018-663-3770,29,M,충청북도 고양시 일산서구 테헤란가,철원군
안정웅,fbag@ju.kr,017-225-7628,78,F,인천광역시 금천구 서초대가,태백시
이지영,yeongilu@naver.com,010-6307-1780,73,F,대구광역시 구로구 도산대7거리,고양시 덕양구
이지혜,jeongsun96@nate.com,031-157-2916,49,M,대전광역시 서초구 가락2가,고양시 일산동구
엄영일,jiyeon94@jusighoesa.org,018-151-1810,65,F,울산광역시 서초구 석촌호수가 (건우서김마을),춘천시
황상철,seunghyeon45@hanmail.net,051-422-1602,18,M,제주특별자치도 남양주시 역삼6가 (민지차김리),음성군
장지원,ogsunmin@naver.com,02-6933-3554,47,F,서울특별시 강북구 양재천71가 (준호지리),충주시
조동현,jimin45@gimhong.com,016-003-5121,22,M,대구광역시 도봉구 언주길 (우진김동),용인시 수지구
이순자,ijeongsun@hanmail.net,061-746-2928,68,F,전라남도 용인시 수지구 선릉586가,평창군
김현우,jeongsig77@yuhanhoesa.com,018-063-2529,62,M,대구광역시 도봉구 봉은사로 (영자최읍),삼척시
류준서,igim@daum.net,018-912-3019,16,F,강원도 수원시 양재천로,동해시
류정남,gimhyeonsug@hotmail.com,016-553-8380,48,F,충청남도 계룡시 서초중앙가,성남시 중원구
김지연,junho46@nate.com,041-894-9848,15,F,대구광역시 마포구 서초대08길 (성민김면),남양주시
최서연,eungyeong73@bagyun.com,017-500-3170,7,F,대전광역시 송파구 잠실로,김포시
유예은,simyeongsu@bagbag.org,052-152-7252,18,M,경상북도 속초시 백제고분가,평창군
오성훈,sangceol96@naver.com,054-564-4009,61,F,대전광역시 중랑구 개포888가,군포시
홍영순,igweon@gmail.com,063-948-6891,62,F,인천광역시 용산구 석촌호수53로,계룡시
이미숙,hi@hanmail.net,031-170-6622,14,M,제주특별자치도 양평군 압구정로,음성군
김정수,minjae87@bagguno.com,061-220-0787,11,M,경상북도 양평군 백제고분54길 (서준문마을),천안시 서북구
김민지,sangceolca@bagjeongcoe.com,041-983-9599,60,M,울산광역시 종로구 봉은사435길,철원군
김경희,coejiyeong@anryugo.kr,052-195-3762,75,M,강원도 가평군 선릉거리,양평군
김채원,hanseonghyeon@nate.com,019-765-7218,66,M,경기도 김포시 도산대길,천안시 동남구
김영자,judonghyeon@nate.com,017-714-4025,10,M,전라북도 고양시 일산서구 서초중앙50길,금산군
지민수,bagseoyeon@yu.kr,053-547-9426,56,M,전라북도 과천시 양재천가,의정부시
김민재,pbag@live.com,064-778-1029,30,F,전라북도 고양시 학동길,춘천시
김현지,sinhayun@iha.net,064-767-8036,9,M,인천광역시 서대문구 반포대85가 (영자양서마을),양양군
김진호,ngim@daum.net,019-441-7734,7,F,부산광역시 노원구 논현306길,영월군
김미경,jimingim@baeu.net,017-012-7908,56,F,경상북도 양주시 서초대가 (현우이동),포천시
이승현,sinsunog@ju.org,033-362-8080,77,F,서울특별시 서초구 반포대37거리 (수민강읍),부천시 오정구
김예지,ogsun65@ju.net,042-148-6753,70,M,세종특별자치시 중랑구 압구정1거리 (은지서동),연천군
김은서,ryusiu@yuhanhoesa.com,043-674-5030,27,M,광주광역시 강동구 오금가 (정호최면),포천시
김지후,caeweon37@ju.com,054-203-8282,69,M,대전광역시 송파구 도산대로,화천군
백수민,gbae@dreamwiz.com,052-477-4298,71,M,경기도 고양시 덕양구 개포가,용인시
최진호,hongminseog@gmail.com,053-925-5221,36,M,제주특별자치도 청주시 흥덕구 백제고분836길 (명자윤김동),제천시
최주원,wgim@jusighoesa.com,052-312-3530,31,F,경기도 서천군 영동대5로 (정훈김김면),당진시
심상철,jaeho29@dreamwiz.com,010-0148-0427,30,M,대전광역시 성북구 오금길 (윤서이리),청양군
송지연,minjio@jusighoesa.net,052-227-9314,42,F,부산광역시 종로구 오금60거리,안양시
박민재,jiu59@dreamwiz.com,010-1543-5940,5,F,인천광역시 강북구 학동가 (춘자황면),성남시
이민재,jeongja92@yuhanhoesa.com,055-304-2166,45,M,제주특별자치도 연천군 도산대거리,원주시
이성민,ihong@ihanbag.net,017-923-4944,73,M,인천광역시 서초구 서초대95거리,부천시 소사구
김윤서,ihyeonjeong@yuhanhoesa.kr,051-899-9775,6,M,대구광역시 서초구 오금4로,논산시
이지혜,minjii@yuhanhoesa.net,018-503-6990,44,F,제주특별자치도 단양군 봉은사가 (현지김면),강릉시
이광수,mijeonggim@hangoo.net,063-783-8895,10,M,서울특별시 금천구 반포대가 (예원박마을),김포시
심은주,wgim@ju.com,063-652-2776,15,M,인천광역시 영등포구 영동대5거리,금산군
김선영,seoyeongim@hotmail.com,062-974-2222,46,M,전라북도 부천시 소사구 도산대길,고양시
이현정,jihungo@hanmail.net,010-6552-2410,33,F,경상북도 화성시 역삼27가 (예지김김동),구리시
이영수,kcoe@yu.com,02-5082-5838,68,M,충청북도 서천군 서초대991가,동해시
김민수,jeongsig17@bagbaghan.com,041-355-5541,11,M,전라남도 화천군 가락거리 (현숙한읍),춘천시
권현지,ncoe@gmail.com,010-0132-5694,45,M,경기도 용인시 압구정3가 (성민황면),하남시
김영길,yeonghoji@bagyun.kr,019-198-0244,56,M,경상북도 인제군 석촌호수거리 (지혜김김면),고양시 덕양구
이승민,jbag@yangcoe.kr,011-652-2909,47,M,인천광역시 남구 강남대가 (수민한마을),용인시
이은경,jihyejang@dreamwiz.com,017-259-2326,39,M,경상남도 홍천군 선릉077거리,의정부시
박성호,hgim@hotmail.com,018-161-2505,74,F,경상남도 고성군 서초중앙로,원주시
김정수,gimminsu@yuhanhoesa.net,070-4970-3206,74,M,경기도 양평군 봉은사거리 (경숙박최마을),부천시 원미구
진성훈,geonui@jusighoesa.kr,052-223-0355,12,M,경상북도 용인시 처인구 학동길,충주시
조지혜,gimmijeong@gimgimi.org,02-3698-1881,71,F,서울특별시 은평구 역삼094거리,청주시 청원구
이선영,ganghyeonju@naver.com,033-381-4229,75,M,경기도 수원시 장안구 오금09거리,부천시 소사구
신민수,ogweon@igweoncoe.com,055-322-5072,73,F,전라북도 보은군 가락길,서천군
이현정,eseo@igimgim.com,032-854-2211,65,M,세종특별자치시 북구 석촌호수거리,공주시
김경숙,rgweon@ganggugim.org,016-033-1002,5,F,대전광역시 서대문구 강남대18가,서산시
심지아,songhyeonju@hotmail.com,041-688-2224,41,F,광주광역시 강서구 삼성1로 (상철박박읍),안산시
김지우,sunjaseo@yu.org,043-207-9572,75,M,울산광역시 용산구 백제고분로 (옥순이리),성남시 수정구
안민수,subin93@live.com,043-272-7607,40,F,광주광역시 동작구 선릉448가,이천시
박영일,yeonghyi26@naver.com,033-341-1509,19,M,부산광역시 성북구 선릉6길,과천시
김은주,isangho@hotmail.com,011-457-4512,43,M,제주특별자치도 화성시 잠실12로 (서연이마을),안산시
김민수,bgang@ju.kr,032-853-9226,59,F,충청북도 이천시 영동대길,하남시
이민준,yuhaeun@yu.com,016-614-0464,56,M,전라북도 이천시 반포대거리,태안군
홍정호,misugyang@hotmail.com,041-418-7095,41,F,대구광역시 동작구 가락2길 (수민황리),김포시
이정남,hyeonjeong03@jusighoesa.net,016-025-9091,26,F,울산광역시 성동구 개포가,인제군
송경숙,gimhyejin@dreamwiz.com,061-598-4409,32,F,세종특별자치시 관악구 도산대거리 (상호이최마을),천안시 서북구
강건우,hyeonjui@dreamwiz.com,02-7776-0100,29,M,인천광역시 구로구 삼성12로,삼척시
김민지,gimjihye@ju.kr,031-402-7339,65,M,울산광역시 강북구 서초대길 (미영이이리),고양시 덕양구
김영일,yunbyeongceol@yuhanhoesa.com,017-040-0014,14,F,세종특별자치시 금천구 압구정길 (영숙김리),광명시
김지영,seoyeonghyi@dreamwiz.com,064-707-0151,62,M,대전광역시 강북구 학동가 (미영이리),의정부시
박은주,hbag@yanggim.com,061-516-7821,67,M,부산광역시 강서구 강남대04거리 (성수김리),광명시
이경수,yeongjinhan@naver.com,061-754-6469,77,M,전라남도 안양시 논현57길,보령시
이지아,jinho82@gimi.org,070-2377-0904,70,M,광주광역시 성동구 영동대로,영월군
남성수,yeongsunsong@gimi.com,018-699-2004,38,M,전라남도 성남시 수정구 서초대3로 (영철박최마을),안산시 상록구
차경자,jgim@bagsimca.kr,051-121-2685,72,F,대전광역시 관악구 서초대거리,고양시 일산동구
최상훈,seonyeonggweon@yuhanhoesa.com,02-1254-2364,6,M,충청북도 평창군 압구정287거리,동해시
류춘자,seongmin25@hanmail.net,061-270-4129,75,F,대구광역시 금천구 강남대로 (민수김읍),포천시
박재현,ijeongsug@hanmail.net,016-732-0079,43,F,제주특별자치도 수원시 영통구 강남대거리,옥천군
문현준,seojunbae@naver.com,044-617-8940,71,F,대전광역시 관악구 도산대2로,성남시
김서현,heohyeonsug@gmail.com,063-591-3705,72,M,부산광역시 은평구 논현2거리,당진시
권정순,ei@ii.com,02-3204-5740,42,M,충청북도 공주시 서초중앙9가 (지현고마을),이천시
김보람,donghyeon74@gimgimbag.net,064-788-4930,65,F,제주특별자치도 논산시 역삼067거리,양구군
김현준,sangceolan@daum.net,02-6910-3302,78,M,부산광역시 송파구 논현2거리,여주시
조정남,sugjaseo@ju.org,061-755-0042,18,F,서울특별시 중구 영동대가,홍성군
김미정,najeonghun@bagseoryu.kr,016-817-3064,60,F,경상북도 아산시 테헤란거리,군포시
김미정,bagjinu@hanmail.net,018-900-1443,24,M,부산광역시 종로구 가락로,안산시 상록구
백옥자,kbag@gimgimbae.kr,052-773-0072,45,F,경상남도 청주시 청원구 석촌호수254가 (정숙김면),옥천군
안현준,qgim@ioson.org,051-858-6057,21,M,전라남도 광명시 개포길 (경수최이읍),단양군
김정수,kgim@daum.net,016-409-1823,19,M,부산광역시 구로구 압구정1길 (현지김리),부천시
김중수,cryu@naver.com,061-828-2806,11,M,대구광역시 성북구 반포대길,강릉시
장준호,janggwangsu@hongjang.kr,051-869-1430,60,M,대구광역시 서구 백제고분로 (도현강정마을),안산시 단원구
지예진,vgim@gimi.kr,054-645-6393,34,F,경기도 용인시 수지구 학동2길,과천시
김재호,siui@hotmail.com,052-638-8164,34,M,세종특별자치시 마포구 삼성거리 (미숙김면),태백시
최채원,myeongja88@naver.com,051-006-8752,75,M,충청북도 충주시 강남대가 (경희최안동),춘천시
손승현,eungyeongi@yuhanhoesa.net,041-987-0786,17,F,경상남도 춘천시 삼성가 (정훈이배마을),화천군
박성현,jeonghun81@dreamwiz.com,018-266-1330,77,F,인천광역시 마포구 가락937거리,파주시
박명숙,ijeonghyi@jusighoesa.com,033-947-4032,72,F,강원도 용인시 수지구 선릉60거리,양구군
노현숙,gimsunog@daum.net,052-966-3799,11,M,강원도 안성시 잠실15가 (서연신마을),군포시
박지훈,xbag@nate.com,052-446-5138,79,M,대전광역시 성북구 논현001길 (지민홍마을),안양시 만안구
김승현,ogim@gmail.com,062-515-0051,18,M,인천광역시 중구 가락4길 (승현류성면),양구군
윤영호,sumin44@naver.com,018-501-1497,20,F,충청북도 용인시 선릉60가 (성훈김마을),부천시 소사구
나상현,hbaeg@jusighoesa.org,033-985-3363,59,F,대전광역시 금천구 언주16가,의정부시
이영일,imyeongja@hotmail.com,052-094-9929,42,F,전라남도 광명시 양재천거리 (영호김읍),용인시
김주원,seongminseo@igimgim.net,016-665-0463,26,F,부산광역시 남구 잠실21길,의왕시
박경자,songyeji@gmail.com,052-683-3729,78,M,전라북도 논산시 봉은사8거리 (현우김박면),화성시
박재호,jinhohong@ohwang.net,052-715-4245,74,F,전라북도 부여군 백제고분003로 (시우오읍),이천시
김재호,gimyeongil@yu.com,051-730-2200,67,M,인천광역시 구로구 오금85가 (진호김최동),천안시 서북구
최영미,imyeongja@dreamwiz.com,032-139-7900,40,F,경상남도 안성시 잠실거리 (은정장면),보령시
배성진,dcoe@hanmail.net,010-9793-5536,62,M,제주특별자치도 수원시 장안구 논현가,양구군
김옥순,hyeonjigim@daum.net,043-335-4667,69,F,대전광역시 강남구 석촌호수534길 (정순김면),당진시
이순자,jaehobaeg@hotmail.com,051-196-3969,62,M,충청북도 보은군 반포대거리,영월군
박정순,jungsui@yu.kr,019-767-7130,45,M,전라남도 안양시 만안구 양재천2로 (승현김읍),안양시
이영길,hyeonjungim@daum.net,043-487-4875,30,F,서울특별시 강동구 논현거리 (민준최김동),화천군
손영숙,oi@hanmail.net,070-4575-0993,58,M,충청남도 부천시 가락가 (민서이류마을),청주시 청원구
손서현,yangjihye@naver.com,061-807-7939,61,M,대구광역시 강서구 강남대거리 (현우김읍),안산시
최순옥,heoyeonghwan@yuhanhoesa.com,010-4639-5841,76,F,전라북도 청주시 청원구 서초대12길,논산시
김현주,nbag@naver.com,016-468-4317,42,M,부산광역시 성동구 선릉2가,원주시
홍영미,eunjuseo@yuhanhoesa.com,016-460-6076,27,M,세종특별자치시 동구 선릉3거리 (영진김권동),삼척시
김정남,migyeong78@jusighoesa.kr,070-6621-4130,72,F,부산광역시 송파구 강남대거리 (예원최동),고양시
고예진,juweoni@baggimgim.kr,070-8291-8510,79,M,경상남도 청주시 서원구 서초중앙8거리 (성진최동),수원시 장안구
이정호,gimjunhyeog@nate.com,061-838-5067,74,M,충청북도 삼척시 석촌호수88거리 (우진배리),홍성군
김현준,yeongmi41@gimcacoe.kr,033-303-4421,45,F,전라남도 속초시 반포대길,금산군
김영식,yeongceolgim@imun.org,061-954-1407,80,M,전라남도 제천시 서초대거리,수원시
서도윤,no@naver.com,031-906-2751,72,F,전라북도 논산시 테헤란로 (병철노김리),용인시 처인구
김은주,seojungim@daum.net,032-225-5994,46,F,강원도 용인시 처인구 강남대878로,수원시 팔달구
김성민,wseo@yuhanhoesa.com,062-539-9719,23,F,대전광역시 성동구 서초대로 (옥자한심마을),정선군
전승현,doyunbag@gmail.com,033-280-0351,29,M,광주광역시 강북구 개포637거리 (도현이최리),천안시 동남구
최정자,jeonghyian@naver.com,051-438-1363,57,M,충청남도 용인시 기흥구 개포265가 (선영손읍),가평군
박준혁,yeongceol67@daum.net,033-494-8971,21,M,충청남도 안양시 압구정02가 (정식김한면),음성군
조승민,ogsun73@yuhanhoesa.com,032-521-1859,47,F,제주특별자치도 제천시 봉은사3로 (미숙최마을),횡성군
장지민,jihye41@naver.com,011-176-0933,63,M,충청북도 옥천군 가락400길,용인시 수지구
김성현,bagjihun@dreamwiz.com,063-503-4011,77,F,서울특별시 동구 백제고분162로 (정자황하면),화성시
강준영,bagseongjin@nobagcoe.kr,055-256-9544,21,F,대구광역시 광진구 영동대로 (영일이읍),남양주시
최수빈,ibae@yuhanhoesa.net,051-672-3501,77,M,제주특별자치도 과천시 석촌호수거리 (수진최권면),춘천시
권정식,jiminbag@gimmun.com,010-4748-0678,51,F,서울특별시 관악구 가락6로,군포시
이지은,jaeho38@gimgimi.kr,061-183-5408,67,M,경상북도 보령시 도산대2길 (성진장박마을),천안시 동남구
김옥순,iseoyun@daum.net,043-673-9759,20,F,대구광역시 구로구 언주638가,예산군
권승현,sunog17@live.com,051-613-7623,23,F,인천광역시 동구 잠실가 (아름손노면),안양시
